Model,n_pool,L,Acc,Mean,Params,SeqParams
Pure CNN,4,36,26.44 ± 0.16,26.4362,5711,0
CNN + MLP,4,36,25.66 ± 0.81,25.656,22543,16832
CNN + Mamba (Uni),4,36,23.81 ± 0.37,23.8121,26191,20480
CNN + Mamba (Bi),4,36,22.68 ± 0.71,22.6773,26191,20480
CNN + Attention,4,36,25.48 ± 0.43,25.4787,31119,25408
Pure CNN,3,144,24.20 ± 0.50,24.2021,4271,0
CNN + MLP,3,144,25.39 ± 0.55,25.3901,21103,16832
CNN + Mamba (Uni),3,144,24.96 ± 1.23,24.9645,24751,20480
CNN + Mamba (Bi),3,144,24.73 ± 0.92,24.734,24751,20480
CNN + Attention,3,144,26.08 ± 0.16,26.0816,29679,25408
Pure CNN,2,576,22.52 ± 0.46,22.5177,3983,0
CNN + MLP,2,576,25.66 ± 0.13,25.656,20815,16832
CNN + Mamba (Uni),2,576,24.95 ± 1.59,24.9468,24463,20480
CNN + Mamba (Bi),2,576,25.02 ± 1.45,25.0177,24463,20480
CNN + Attention,2,576,25.05 ± 0.66,25.0532,29391,25408
