Model,n_pool,L,Acc,Mean,Params,SeqParams
Pure CNN,4,36,65.83 ± 0.78,65.8333,9450,0
CNN + MLP,4,36,69.34 ± 0.11,69.3417,75882,66432
CNN + Mamba (Uni),4,36,71.80 ± 0.08,71.7958,77034,67584
CNN + Mamba (Bi),4,36,71.02 ± 0.66,71.0208,77034,67584
CNN + Attention,4,36,69.86 ± 0.73,69.8625,109418,99968
Pure CNN,3,144,58.50 ± 0.44,58.5,4522,0
CNN + MLP,3,144,64.65 ± 0.39,64.65,70954,66432
CNN + Mamba (Uni),3,144,71.97 ± 0.43,71.975,72106,67584
CNN + Mamba (Bi),3,144,71.48 ± 0.34,71.4833,72106,67584
CNN + Attention,3,144,66.57 ± 0.33,66.5708,104490,99968
Pure CNN,2,576,52.40 ± 0.80,52.3958,4234,0
CNN + MLP,2,576,63.40 ± 0.73,63.4042,70666,66432
CNN + Mamba (Uni),2,576,72.67 ± 1.14,72.6667,71818,67584
CNN + Mamba (Bi),2,576,72.14 ± 0.26,72.1375,71818,67584
CNN + Attention,2,576,66.97 ± 0.58,66.975,104202,99968
